millis, accelx, accely, accelz, v_x, v_y, v_z, p_x, p_y, p_z
0.035, 0.004199207, 0.001926966, 0.02090168, 0.0, 0.0, 0.0, 249.90138, 250.11607, 249.57162
0.035, 0.0024047792, -0.0034563318, 0.02090168, 0.0, 0.0, 0.0, 249.90138, 250.11607, 249.57162
0.035, 0.006591797, -0.0058489144, 0.02090168, 0.0, 0.0, 0.0, 249.90138, 250.11607, 249.57162
0.035, 0.0036010742, -0.0058489144, 0.024490356, 0.0, 0.0, 0.0, 249.90138, 250.11607, 249.57162
0.034, 0.0047973692, -0.0022600442, 0.030471802, 0.0, 0.0, 0.0, 249.90138, 250.11607, 249.57162
0.036, 0.0024047792, -0.0010637566, 0.025686264, 0.0, 0.0, 0.0, 249.90138, 250.11607, 249.57162
0.033, -0.0029785335, 0.003721401, 0.024490356, 0.0, 0.0, 0.0, 249.90138, 250.11607, 249.57162
0.036, 6.1035156E-4, 0.003721401, 0.019704819, 0.0, 0.0, 0.0, 249.90138, 250.11607, 249.57162
0.035, 0.0012084842, 1.3253093E-4, 0.019106865, 0.0, 0.0, 0.0, 249.90138, 250.11607, 249.57162
0.035, -0.0041747987, -4.6560913E-4, 0.016116142, 0.0, 0.0, 0.0, 249.90138, 250.11607, 249.57162
0.034, 0.005395502, 0.001328826, 0.029873848, 0.0, 0.0, 0.0, 249.90138, 250.11607, 249.57162
0.036, 0.0036010742, 7.3067844E-4, 0.03406048, 0.0, 0.0, 0.0, 249.90138, 250.11607, 249.57162
0.034, -0.0011840761, -0.0028581917, 0.031069756, 0.0, 0.0, 0.0, 249.90138, 250.11607, 249.57162
0.035, -0.0041747987, -0.0010637566, 0.044228554, 0.0, 0.0, 0.0, 249.90138, 250.11607, 249.57162
0.034, -0.0011840761, 0.003721401, 0.0370512, 0.0, 0.0, 0.0, 249.90138, 250.11607, 249.57162
0.036, -0.005969256, 1.3253093E-4, 0.034658432, 0.0, 0.0, 0.0, 249.90138, 250.11607, 249.57162
0.035, -0.007763684, -0.0010637566, 0.028676987, 0.0, 0.0, 0.0, 249.90138, 250.11607, 249.57162
0.034, -0.006567389, 1.3253093E-4, 0.02748108, 0.0, 0.0, 0.0, 249.90138, 250.11607, 249.57162
0.035, -0.0011840761, 7.3067844E-4, 0.019106865, 0.0, 0.0, 0.0, 249.90138, 250.11607, 249.57162
0.035, -0.0041747987, -4.6560913E-4, 0.019704819, 0.0, 0.0, 0.0, 249.90138, 250.11607, 249.57162
0.035, -0.002380371, 7.3067844E-4, 0.02508831, 0.0, 0.0, 0.0, 249.90138, 250.11607, 249.57162
0.039, -5.8594346E-4, 0.003721401, 0.034658432, 0.0, 0.0, 0.0, 249.90138, 250.11607, 249.57162
0.033, 1.218915E-5, -4.6560913E-4, 0.03406048, 0.0, 0.0, 0.0, 249.90138, 250.11607, 249.57162
0.033, -0.0017822385, 7.3067844E-4, 0.03166771, 0.0, 0.0, 0.0, 249.90138, 250.11607, 249.57162
0.034, 0.0036010742, -0.0022600442, 0.03406048, 0.0, 0.0, 0.0, 249.90138, 250.11607, 249.57162
0.035, 0.0030029118, -0.0046526194, 0.024490356, 0.0, 0.0, 0.0, 249.90138, 250.11607, 249.57162
0.035, 0.0071899295, -0.0016618967, 0.025686264, 0.0, 0.0, 0.0, 249.90138, 250.11607, 249.57162
0.036, 0.0083862245, 0.001328826, 0.03286457, 0.0, 0.0, 0.0, 249.90138, 250.11607, 249.57162
0.034, -0.004772961, 0.001926966, 0.031069756, 0.0, 0.0, 0.0, 249.90138, 250.11607, 249.57162
0.034, 0.0018066466, 0.001328826, 0.024490356, 0.0, 0.0, 0.0, 249.90138, 250.11607, 249.57162
0.035, -0.0035766661, 1.3253093E-4, 0.023892403, 0.0, 0.0, 0.0, 249.90138, 250.11607, 249.57162
0.035, -0.007763684, -0.0016618967, 0.01312542, 0.0, 0.0, 0.0, 249.90138, 250.11607, 249.57162
0.035, 0.008984357, -0.0010637566, 0.017910957, 0.0, 0.0, 0.0, 249.90138, 250.11607, 249.57162
0.035, 0.004199207, 7.3067844E-4, 0.023892403, 0.0, 0.0, 0.0, 249.90138, 250.11607, 249.57162
0.034, 0.0018066466, 0.001328826, 0.028079033, 0.0, 0.0, 0.0, 249.90138, 250.11607, 249.57162
0.035, 0.0024047792, -4.6560913E-4, 0.030471802, 0.0, 0.0, 0.0, 249.90138, 250.11607, 249.57162
0.035, -0.0041747987, 0.0043195486, 0.036453247, 0.0, 0.0, 0.0, 249.90138, 250.11607, 249.57162
0.035, -0.0035766661, 0.001328826, 0.03406048, 0.0, 0.0, 0.0, 249.90138, 250.11607, 249.57162
0.035, -0.0011840761, 0.0031232536, 0.038846016, 0.0, 0.0, 0.0, 249.90138, 250.11607, 249.57162
0.037, -0.002380371, 0.0067121238, 0.033462524, 0.0, 0.0, 0.0, 249.90138, 250.11607, 249.57162
0.035, 0.0059936345, -0.0028581917, 0.02748108, 0.0, 0.0, 0.0, 249.90138, 250.11607, 249.57162
0.033, -0.0035766661, -0.0040544793, 0.028079033, 0.0, 0.0, 0.0, 249.90138, 250.11607, 249.57162
0.034, 0.0012084842, -0.0064470544, 0.03166771, 0.0, 0.0, 0.0, 249.90138, 250.11607, 249.57162
0.035, -0.0035766661, -0.007045202, 0.028079033, 0.0, 0.0, 0.0, 249.90138, 250.11607, 249.57162
0.034, -0.0035766661, -0.0010637566, 0.031069756, 0.0, 0.0, 0.0, 249.90138, 250.11607, 249.57162
0.036, -0.004772961, 0.001328826, 0.03286457, 0.0, 0.0, 0.0, 249.90138, 250.11607, 249.57162
0.034, -0.0029785335, 0.001328826, 0.03166771, 0.0, 0.0, 0.0, 249.90138, 250.11607, 249.57162
0.036, 0.0018066466, 0.003721401, 0.031069756, 0.0, 0.0, 0.0, 249.90138, 250.11607, 249.57162
0.035, 0.0047973692, 1.3253093E-4, 0.032265663, 0.0, 0.0, 0.0, 249.90138, 250.11607, 249.57162
0.033, 0.008984357, 0.001328826, 0.023293495, 0.0, 0.0, 0.0, 249.90138, 250.11607, 249.57162
0.036, 0.0083862245, -0.0028581917, 0.022695541, 0.0, 0.0, 0.0, 249.90138, 250.11607, 249.57162
0.035, 0.0018066466, -4.6560913E-4, 0.025686264, 0.0, 0.0, 0.0, 249.90138, 250.11607, 249.57162
0.035, 0.005395502, 0.0025251135, 0.02748108, 0.0, 0.0, 0.0, 249.90138, 250.11607, 249.57162
0.034, 0.0018066466, 7.3067844E-4, 0.02090168, 0.0, 0.0, 0.0, 249.90138, 250.11607, 249.57162
0.035, 0.0012084842, 0.0031232536, 0.028676987, 0.0, 0.0, 0.0, 249.90138, 250.11607, 249.57162
0.036, 0.0047973692, 7.3067844E-4, 0.026883125, 0.0, 0.0, 0.0, 249.90138, 250.11607, 249.57162
0.034, -0.0041747987, -0.0028581917, 0.017910957, 0.0, 0.0, 0.0, 249.90138, 250.11607, 249.57162
0.035, -0.006567389, -0.0022600442, 0.025686264, 0.0, 0.0, 0.0, 249.90138, 250.11607, 249.57162
0.034, -0.005969256, -0.0034563318, 0.022695541, 0.0, 0.0, 0.0, 249.90138, 250.11607, 249.57162
0.035, -0.004772961, -0.0034563318, 0.028676987, 0.0, 0.0, 0.0, 249.90138, 250.11607, 249.57162
0.038, -0.002380371, -0.0058489144, 0.028676987, 0.0, 0.0, 0.0, 249.90138, 250.11607, 249.57162
0.034, -0.0011840761, -0.0016618967, 0.033462524, 0.0, 0.0, 0.0, 249.90138, 250.11607, 249.57162
0.035, -0.0017822385, -0.005250767, 0.03944397, 0.0, 0.0, 0.0, 249.90138, 250.11607, 249.57162
0.034, -5.8594346E-4, -0.0016618967, 0.043032646, 0.0, 0.0, 0.0, 249.90138, 250.11607, 249.57162
0.034, 0.0012084842, -0.0016618967, 0.04123783, 0.0, 0.0, 0.0, 249.90138, 250.11607, 249.57162
0.034, 0.0059936345, -0.0046526194, 0.03944397, 0.0, 0.0, 0.0, 249.90138, 250.11607, 249.57162
0.035, 0.004199207, -0.0058489144, 0.040041924, 0.0, 0.0, 0.0, 249.90138, 250.11607, 249.57162
0.034, 0.0012084842, -0.0040544793, 0.030471802, 0.0, 0.0, 0.0, 249.90138, 250.11607, 249.57162
